,title,description,original_length,summarized_Length,summarized,summarized_length
147,Pathologist,"Pathologist\nBracco Suisse SA is a company of the international Bracco Group (www.bracco.com), a leader in contrast agents for medical imaging. R&D is articulated between three Group's centers in Colleretto Giacosa- Italy, next to Ivrea (CRB - Bracco Research Center), Geneva-Switzerland (Bracco Suisse S.A.) and Monroe-NJ, USA (Bracco Research US), which together form a knowhow network of excellence. The three centers - whose competencies are geared to continuous innovation- work on a coordinated basis. For our research center (Safety - Pathobiology Department) based in Geneva (Switzerland) we are looking for a\nPATHOLOGIST\nActivities:\nUnder the responsibility of the head of the Safety-pathobiology department, you will have to perform the following tasks:\nManage Research, non-GLP and GLP lab activities as a pathologist and head of Pathobiology technicians team in close collaboration with various colleagues from the R&D entities with the highest ethical standard;\nManage the execution of protocols and technical duties like preparation of histological slides and IHC experiments, as needed.\nAssess pharmaco-toxicological effects of small molecules and biologics in preclinical (from research to\nGLP regulatory) studies, with a focus on soluble biomarkers.\nDrive scientific and technical support for tissue biomarker identification development, qualification, and validation of translational biomarkers (IHC) and immunological-based endpoints through collaboration with internal and external expert working groups.\nProvide reports that accurately reflect data derived from standard clinical pathology endpoints as well as investigative biomarkers.\nCollaborate with other scientists in the design of preclinical safety studies and interpretation and communication of study findings, including the impact of the data on the safety profile and clinical development.\nInternal expert on cell culture activities, antibody validation, development of in vitro efficacy and toxicology tests analysis, tumor tissues and its application to drug development\nProvide oversight of review of protocols, data, and reports generated at contract laboratories (CROs) to ensure high quality, on-time reporting. Conduct peer-reviews of histological slides when needed.\nAs a laboratory manager, be a force for bringing forward proposals and support continuous development of laboratory analytical capabilities and career development of the technical team.\nQualifications:\nDVM, PhD (in physiology or Animal Biology), you have at least 3 - 5 years of experience in the pharmaceutical industry.\nExpertise in histopathology and IHC principles, techniques and beyond. (molecular biology is a plus)\nGood knowledge of GLP rules applied to histopathology (Knowledge of clinical pathology is a plus)\nAbility to write routine reports and correspondence.\nAbility to manage a lab with a team of technicians\nKnowledge of pathology software (e.g. Provantis®, Ascentos®), statistics, image analysis tools (e.g.\nHALO®) is an asset, and basic knowledge of other Windows Office suite tools (e.g. Excel® ) - Good written and spoken command of French and English.\nWe offer:\nAn international company working on medicinal products with high added value.\nAn extremely stimulating field of research within a scientific environment highly specialized and qualified.\nA work environment with state-of-the-art technologies\nA challenging job with means to succeed and possibilities for continuing education\nIf you recognize yourself in this profile and are looking for a new challenge, send us your complete application\n(CV & letter) only by email, through the JOBUP website",3661,0,"pathologistnBracco Suisse SA is a company of the international Bracco Group. three centers in Colleretto Giacosa- Italy, next to Ivrea (CRB - Bracco Research Center), Geneva-Switzerland and Monroe-NJ, USA. the three centers - whose competencies are geared to continuous innovation- work on a coordinated basis.",310
148,Sales Administration Manager - International,Client:\nA fast-growing international group leader in the field of medical technology with operations worldwide.\nSales Administration Manager - International\nClient:\nA fast-growing international group leader in the field of medical technology with operations worldwide.\nClient:\nA fast-growing international group leader in the field of medical technology with operations worldwide.,386,0,client:nA fast-growing international group leader in the field of medical technology with operations worldwide.,111
149,Chauffeur livreur,"afa SA est active depuis 1972 pour tous besoins sur le lieu de travail et est actuellement un des principaux acteurs du marché, particulièrement présent dans l'Arc jurassien et notamment à Genève auprès des Organismes Internationaux y ayant siège mais également auprès des grandes industries suisses. afa SA agit également en tant que partenaire privilégié de diverses centrales d'achats cantonales et municipales ainsi qu'auprès de nombreuses écoles et universités.\nafa gère toute sa logistique avec l'ERP ProConcept.\nAfin de compléter son équipe logistique de Brügg/Bienne, elle recherche de suite :\nChauffeur livreur\nafa SA est active depuis 1972 pour tous besoins sur le lieu de travail et est actuellement un des principaux acteurs du marché, particulièrement présent dans l'Arc jurassien et notamment à Genève auprès des Organismes Internationaux y ayant siège mais également auprès des grandes industries suisses. afa SA agit également en tant que partenaire privilégié de diverses centrales d'achats cantonales et municipales ainsi qu'auprès de nombreuses écoles et universités.\nafa gère toute sa logistique avec l'ERP ProConcept.\nAfin de compléter son équipe logistique de Brügg/Bienne, elle recherche de suite :\nLe collaborateur recherché doit être au minimum titulaire du permis de conduire cat. B.\nA l'aise avec les outils informatique de base, la connaissance d'un environnement de type ERP est un atout.\nLa langue parlée dans l'entreprise est le français, toutefois un collaborateur de langue maternelle allemande pratiquant bien le français est le bienvenu. La maîtrise parlée des deux langues est un plus.\nLe candidat idéal sera à l'aise dans le montage et l'installation de mobilier et disposant d'un esprit ""débrouillard"".\nSachant que le chauffeur-livreur est un point de contact avec la clientèle, le candidat devra être dynamique, sympathique et serviable.\nVos tâches\nPréparer les commandes de marchandises\nLivrer les commandes clients en camionnette dans la région attribuée\nEffectuer des livraisons et du montage de mobilier\nPromouvoir l'excellente qualité de nos services\nEntretenir et respecter le véhicule confié\nVotre Profil\nVous disposez d'un certificat fédéral de capacité (CFC) ou d'une attestation fédérale professionnelle (AFP)\nVous possédez le permis de conduire catégorie B, aimez conduire et le contact avec la clientèle\nVous êtes également ouvert, serviable et votre présentation est soignée.\nMaitrise de l'allemand est un atout\nCe que nous offrons\nCadre de travail et équipe motivée et sympa\nActivité captivante et variée où il est possible de fonctionner de manière relativement autonome\nHoraire de travail flexible\nManifestations et événements sympas\nAvons-nous suscité votre intérêt ? Nous nous réjouissons de recevoir votre dossier de candidature par voie électronique !",2838,0,afa SA agit aussi en tant que partenaire privilégié de diverses centrales d'achats cantonales et municipales ainsi que qu'auprès de nombreuses écoles & universités.,164
150,Workplace Change Manager,"Workplace Change Manager\nMandatés par un de nos clients nationaux, nous recherchons un/une change manager basé à Lausanne.\nWorkplace Change Manager (H/F)\nResponsable du changement Environnement de travail\nVotre mission\nNotre client concrétise plusieurs projets de construction de nouveaux batiments ainsi que les transformations d'immeubles existants. Le Change Manager accompagne les collaborateurs dans leur transition vers ce nouvel environnement de partage de bureau et d'espace collaboratifs. ( co-working, MultiSpace)\nVos responsabilités:\nAssumer la responsabilité de concepts de changement et de communication ainsi que de leur mise en oeuvre.\nAssurer la communication interne sur les canaux existants (site Communication, pages intranet, newsletter, etc.)\nPlanifier et réaliser des événements (journée portes ouvertes sur un chantier, emménagement, séance d'information)\nPlanifier et animer divers comités et ateliers\nParticiper à des réunions de projet\nVotre profil\nEnseignement supérieur en communication, économie d'entreprise ou ressources humaines, p. ex. école supérieure d'économie\nMaîtrise du français et très bonnes connaissances en allemand\nBonnes connaissances en rédaction de textes et réalisation de présentations\nExpérience dans les domaines de la communication, des ressources humaines et/ou de la gestion du changement\nDivers\nPoste basé à Lausanne ou Berne avec des déplacements entre ces deux villes.\nVotre dossier sera traité en toute confidentialité. Si vous vous reconnaissez, nous vous prions de nous faire parvenir votre dossier complet.\nPersonne de contact : BROSE Rémy | +41 21 312 28 49 | cvlausanne@synergiesuisse.ch\nPowered by TCPDF (ww.tcpdf.org)",1703,0,"workplace change managernMandatés par un de nos clients nationaux, nous recherchons un/une change manager basé à Lausanne.",122
151,Dipl. Pflegefachfrau/-mann,"- Betreuung unserer Patientinnen und Patienten im Rahmen des Pflegeauftrages\n- Mitwirkung bei präventiven, diagnostischen und therapeutischen Massnahmen\n- Förderung der Qualität und der Berufsentwicklung\n- Einführung/Betreuung von neuen Mitarbeitenden\n- Mitwirkung und Vorbildfunktion bei der Ausbildung/Begleitung Lernender\n- Mitverantwortung beim Erreichen von Abteilungs-, Bereichs- und Klinikzielen\nDipl. Pflegefachfrau/-mann\n- Betreuung unserer Patientinnen und Patienten im Rahmen des Pflegeauftrages\n- Mitwirkung bei präventiven, diagnostischen und therapeutischen Massnahmen\n- Förderung der Qualität und der Berufsentwicklung\n- Einführung/Betreuung von neuen Mitarbeitenden\n- Mitwirkung und Vorbildfunktion bei der Ausbildung/Begleitung Lernender\n- Mitverantwortung beim Erreichen von Abteilungs-, Bereichs- und Klinikzielen\nAbgeschlossene Berufsausbildung als Dipl. Pflegefachperson (HF/FH/DNII)\nBerufserfahrung in der Akutpflege\nTeamfähigkeit, hohe Sozialkompetenz, Flexibilität\nRasche Auffassungsgabe und die Fähigkeit, ungewöhnliche Situationen als Herausforderung zu betrachten\nFranzösisch in Wort und Schrift\nSolide PC-Kenntnisse (MS-Office)\nFundierte Einarbeitung ins Fachgebiet\nBreites internes Fort- und Weiterbildungs-Angebot\nGeregelte Arbeitszeiten, keine Spät-, Nacht- und Wochenenddienste\nAlle Vorzüge einer universitären Institution\nWeitere Auskünfte erteilt Ihnen gerne\nHerold Bumann, Leiter Pflegedienst,\nTelefon +41 31 632 20 46 oder besuchen\nSie unsere Homepage www.urologie.insel.ch\nEintritt per 01.02.2020 oder n.V.",1570,0,"Pflegefachfrau/-mannn- Betreuung unserer Patientinnen und Patienten im Rahmen des Pflegeauftragesn. Mitwirkung bei präventiven, diagnostischen und therapeutischen Massnahmenn und Vorbildfunktion bei der Ausbildung/Begleitung Lernendern, Mitverantwortung beim Erreichen von Abteilungen, Bereichs- und KlinikzielennDipl.",318
152,Responsable qualité,"Société industrielle active dans l’horlogerie/joaillerie recherche un Responsable Qualité, basé à Genève.\nResponsable qualité\nSociété industrielle active dans l’horlogerie/joaillerie recherche un Responsable Qualité, basé à Genève.\nVotre mission :\nVotre mission est d’établir un système qualité, de la réception des composants jusqu’à la livraison des produits finis :\nEtablir le schéma directeur pour tendre vers un environnement en Assurance Qualité.\nEtablir les procédures de contrôles réception, encours et produits finis.\nSuivre et résoudre les problèmes qualité avec les clients, fournisseurs et sous-traitants.\nIdentifier et mettre en place les actions d’améliorations continues.\nMettre en place les tableaux de bord et indicateurs de performance.\nMettre en place le système d’information et de traitement des données qualité (logiciel de contrôle, lien avec l’ERP,…)\nVotre Profil :\nMembre du Comité de Direction, vous faites preuve de très bonnes capacités d’animation et de communication.\nVous êtes orienté terrain et résultats, et faites preuve de pédagogie pour porter le message qualité dans l’entreprise.\nDiplômé de l’enseignement supérieur, vous avez une expérience significative et réussie dans l’industrie.",1236,0,"Société industrielle active dans l’horlogerie/joaillerie recherche un Responsable Qualité, basé à Genève.nVotre mission est d’établir un système qualité, de la réception des composants jusqu’à la livraison des produits finis.",225
153,Field Service Technician (Rollomatic),"Field Service Technician (Rollomatic)\nField Service\nTechnician h/f\nAprès une période de formation, vous assurez le service après-vente auprès de la clientèle suisse et internationale\nVous réalisez des dépannages et des révisions mécaniques et électriques auprès des clients\nVous installez les machines directement chez les clients\nVous assurez occasionnellement la hotline du support technique du département\nVous participez à la formation de maintenance auprès des clients\nRollomatic est une entreprise suisse spécialisée dans la conception et la fabrication de machines CNC de haute précision pour l'affûtage d'outils coupants, la rectification cylindrique et la découpe par laser d'outils en matière ultra-dure. Ils conçoivent, fabriquent, commercialisent et entretiennent ces systèmes de production dans le monde entier avec près de 350 collaborateurs.\nOrientés client en chaque circonstance, leurs méthodes de fabrication et leur précision trouvent leurs origines dans la passion pour l'ingénierie et le savoir-faire helvétique. Cette manière d'agir et de penser est véhiculée par les équipes dans toutes les étapes de la vie des produits: de la conception, en passant par l'assemblage machines en Lean Manufacturing, et ceci jusqu'au service et conseil à la clientèle qui est une valeur clé de la culture Rollomatic.\nLeur site de production de 12'000m² situé au Landeron dispose d'équipements et de technologies ultra-modernes.\nAvec Pragmatiq, nous sommes fiers de les accompagner dans leur développement au travers de cette phase de recrutement importante\nCFC technique dans le domaine de la mécanique ou de l'automation\nDisposition à voyager la majeur partie du temps (environ 70%)\nUne expérience de quelques années dans un poste similaire est souhaitée ou une expérience à l'interne et d'excellentes compétences techniques dans le domaine de la machine-outils avec le souhait de vous orienter vers le SAV externe\nDe langue maternelle française avec un bon niveau d'anglais. L'allemand serait un vrai plus.\nBonnes connaissances des outils Microsoft Office (Word, Excel, Outlook)\nTitulaire du permis de conduire de catégorie B\nRésistance au stress, flexibilité et goût pour le contact et la résolution de cas techniques complexes\nL'intégration d'un groupe leader avec des valeurs humaines fortes, et une vision orientée vers le développement continu.\nUne ambiance de travail saine dans un climat de confiance, ainsi que des perspectives évolutives et de formation.\nDes conditions d'engagement attractives avec des avantages liés au cadre de travail.\nSi vous vous reconnaissez dans ce qui précède, nous attendons votre dossier avec impatience à l'adresse suivante : a.maglie@pragmatiq.ch M. Alessandro Maglie, mandaté pour le recrutement de ce poste, pourra répondre à vos questions ou besoins de précisions en nous appelant au 032 321 60 01\nwww.pragmatiq.ch",2887,0,"field service Technician (Rollomatic)nField ServicenTechnician h/fnAprès une période de formation, vous assurez le service après-vente auprès des clientsn You participez occasionnellement la hotline du support technique du départementn. they conçoivent, fabriquent, commercialisent et entretiennent ces systèmes de production dans le monde entier avec près de 350 collaborateurs.",379
154,Technicien(ne) hydraulicien(ne) - Oleohydraulicien(ne),"SID SA est un groupe international, employant 145 collaborateurs répartis entre son siège en Suisse et ses filiales (Chine, Allemagne et Inde).\nSID SA développe et produit des machines de broyage et des installations complètes pour la valorisation des déchets.\nSID SA supporte également ses clients sur des centaines d’installations à travers le monde dans l'opération, l'entretien et l'amélioration de celles-ci.\nPour renforcer nos équipes des projets et du département de Service Après-Vente basées au siège de SID SA, à St-Sulpice (canton de Neuchâtel), nous recherchons un(e):\nTechnicien(ne) hydraulicien(ne) - Oleohydraulicien(ne)\nSID SA est un groupe international, employant 145 collaborateurs répartis entre son siège en Suisse et ses filiales (Chine, Allemagne et Inde).\nSID SA développe et produit des machines de broyage et des installations complètes pour la valorisation des déchets.\nSID SA supporte également ses clients sur des centaines d’installations à travers le monde dans l'opération, l'entretien et l'amélioration de celles-ci.\nPour renforcer nos équipes des projets et du département de Service Après-Vente basées au siège de SID SA, à St-Sulpice (canton de Neuchâtel), nous recherchons un(e):\nVos tâches :\n· Supervision, coordination et planification des activités hydrauliques des projets et du SAV, en lien avec les autres départements\n· Engineering et développement pour garantir le respect des cahiers des charges et des normes en vigueur\n· Etablissement des cahiers des charges techniques, évaluation des produits et négociations des commandes auprès de nos fournisseurs\n· Montage et mise en service des groupes hydrauliques, en atelier et sur chantiers\n· Dépannage, entretien et services hydrauliques sur sites\nVos compétences :\n· Un diplôme de technicien(ne) en mécanique ou équivalent, avec une spécialisation dans le domaine hydraulique – oléohydraulique\n· Des connaissances théoriques confirmées par une expérience pratique sur des systèmes oléohydrauliques similaires\n· Un goût pour les déplacements et de l’aisance dans les contacts humains\n· Le sens des responsabilités, du respect des coûts et des délais\n· Vous maîtrisez le français, l’allemand et l’anglais\nNous vous offrons :\n· Un cadre de travail créatif et dynamique à dimension environnementale et à taille humaine\n· De multiples possibilités de développement professionnel et personnel dans un contexte international et interdisciplinaire\n· De la liberté d’organisation liée à votre autonomie\n· La perspective de prendre rapidement des responsabilités au sein d’un réseau de professionnels provenant de différents domaines de l’ingénierie",2658,0,"SID SA est un groupe international, employant 145 collaborateurs répartis entre son siège en Suisse et ses filiales.nSID SA develope & produit des machines de broyage & des installations complètes pour la valorisation des déchets.",230
155,Informaticien Support IT (h/f),"Liebherr Machines Bulle SA est le centre de compétences des moteurs à combustion (Diesel et gaz) et composants hydrauliques. L'entreprise développe et fabrique des produits diversifiés utilisés dans le génie civil, l'exploitation minière, l'agriculture, l'énergie décentralisée, l'ingénierie mécanique & industrielle ainsi que l'aviation.\nInformaticien Support IT (h/f)\nLiebherr Machines Bulle SA est le centre de compétences des moteurs à combustion (Diesel et gaz) et composants hydrauliques. L'entreprise développe et fabrique des produits diversifiés utilisés dans le génie civil, l'exploitation minière, l'agriculture, l'énergie décentralisée, l'ingénierie mécanique & industrielle ainsi que l'aviation.\nLes missions\nInstallation et réparation de matériel informatique\nIndentification de problèmes Hardware\nAssistance des utilisateurs lors d'utilisation d'Office et du système d'exploitation\nAchats de Hardware auprès des fournisseurs de systèmes\nSupport applicatif premier et deuxième niveau pour les usagers sur les applilcations courantes\nInstallation, test et dépannage des logiciels\nFormation à l'utilisation du matériel informatique\nCréation de manuels d'utilisation et de documentation des logiciels\nProfil\nCFC d'informaticien ou formation jugée équivalente\nMinimum 2 ans d'expérience professionnelle\nTrès bonnes connaissances en français, connaissances en allemand et en anglais\nTrès bonnes connaissances de Windows ainsi que de Microsoft Office\nCapacité à travailler en équipe et de façon autonome, sens des responsabilités\nCapacité de communication, orienté service\nNotre offre\nNous vous proposons une activité passionnante au sein d'une équipe jeune et dynamique, une rémunération en rapport avec vos compétences ainsi que des prestations sociales d'une entreprise moderne",1808,0,Liebherr Machines Bulle SA is the centre of compétences des moteurs à combustion (Diesel et gaz) and composants hydrauliques.,125
156,Conducteur-rice-s de train pour la ligne du LEB,"Les Transports publics de la région lausannoise recherchent leurs futurs talents !\nRejoignez-nous et devenez ambassadeur-rice de la ligne verte !\nConducteur-rice-s de train pour la ligne du LEB\nLes Transports publics de la région lausannoise recherchent leurs futurs talents !\nRejoignez-nous et devenez ambassadeur-rice de la ligne verte !\nVous souhaitez un nouveau challenge professionnel ou êtes passionné-e du monde ferroviaire ?\nVous êtes prêt-e à vous investir dans un métier à responsabilités alliant technicité, autonomie et sécurité sur une exploitation ferroviaire en pleine évolution?\nVous appréciez le service à la clientèle et les contacts humains ?\nVous avez envie de sillonner les plus beaux beaux paysages du Gros-de-Vaud, trait d'union entre campagne et ville ?\nDevenez nos futur-e-s\nConducteur-rice-s de train pour la ligne du LEB\nNous sommes\nune entreprise dynamique, engagée, avec d'importants challenges à relever ces prochaines années afin d'accompagner l'agglomération lausannoise et la région du Gros-de-Vaud dans son fort développement.\nAvec près de 120 millions de voyageurs par année dont 3,8 millions sur la ligne Lausanne-Echallens-Bercher, nos 1500 collaborateur-rice-s s'engagent chaque jour pour accompagner nos clients dans leurs déplacements avec passion et font de la mobilité, leur cœur de métier.\nVotre mission\nTransporter et accompagner nos voyageurs en toute sécurité, selon les procédures à appliquer, tout en garantissant la qualité du service et la ponctualité des trains. Vous êtes en contact constant avec l'équipe de régulation et réagissez aux consignes à suivre en cas d'évènements imprévus.\nNous vous offrons\n- Une formation professionnelle complète, rémunérée et certifiante avec l'obtention d'un permis ferroviaire B100 reconnu par l'Office Fédéral des Transports ;\n- Un métier d'avenir dans lequel vous ne cesserez d'évoluer grâce aux nouvelles technologies ;\n- Des possibilités d'évolution de carrière, comme par exemple dans le domaine de la formation, de la régulation ou de l'encadrement ;\n- Des conditions de travail et des prestations sociales de qualité ;\n- Une activité qui contribue au développement durable et écoresponsable de la région.\nVous êtes\n- Âgé-e d'au moins 21 ans ;\n- Titulaire d'un CFC ou titre jugé équivalent, idéalement dans le domaine technique ou de la relation client;\n- Établi-e dans le canton de Vaud (prise de service à Echallens) et au bénéfice d'une autorisation de séjour valide ;\n- Disposé-e à travailler en horaires irréguliers et de nuit, vous possédez également le permis de conduire voiture catégorie B,\n- Disponible dès le 1er janvier 2020\nSi vous vous reconnaissez dans ces quelques lignes, postulez, nous n'attendons que vous !\nMerci de joindre à votre candidature, en plus des documents usuels, un extrait de casier judiciaire (obligatoire)",2862,0,"les transports publics de la région lausannoise recherchent leurs futurs talents!nRejoignez-nous et devenez ambassadeur-rice de la ligne verte.nvous souhaitez un nouveau challenge professionnel ou êtes passionné-e du monde ferroviaire?nVous avez envie de sillonner les plus beaux paysages du Gros-de-Vaud, trait d'union entre campagne eet ville.",345
157,Infirmiers référents (H/F) - 70% - Valency,"Nos centres Médico-Sociaux (CMS) offrent à la population Lausannoise des prestations pluridisciplinaires de qualité et leurs interventions reposent sur des valeurs d’humanité et d’équité.\nAfin de compléter nos équipes, nous recherchons deux:\nInfirmiers référents (H/F) - 70% - Valency\nNos centres Médico-Sociaux (CMS) offrent à la population Lausannoise des prestations pluridisciplinaires de qualité et leurs interventions reposent sur des valeurs d’humanité et d’équité.\nAfin de compléter nos équipes, nous recherchons deux:\nVotre Mission:\nDispenser des prestations d'évaluation, d'examen et traitement, de soins de base en coordination avec le client, son médecin et son entourage\nConseiller et informer les personnes soignées et leur entourage\nDévelopper la qualité des soins et adapter les prestations en fonction des nouvelles connaissances\nContribuer au maintien de la santé et à la prévention de la maladie par une approche interdisciplinaire\nStimuler et soutenir les clients et leur proches vers le maximum d'autonomie en fonction de leurs capacités\nVotre profil et vos compétences:\nBachelor en soins infirmiers (ou titre jugé équivalent)\nExpérience avérée de 2 ans dans le domaine médico-social, dans la collaboration interdisciplinaire et les réseaux\nMaîtrise du français à l'oral et à l'écrit\nBonne aisance avec les outils informatiques et la téléphonie mobile\nCapacité à collaborer en réseau et en pluridisciplinarité\nIntérêt marqué pour la santé communautaire\nSens des responsabilités\nCapacité à s'organiser de manière autonome et à fixer des priorités\nPermis de conduire et véhicule\nNous offrons:\nDes conditions de travail et de rémunération selon la Convention Collective de Travail (CCT) dans le secteur sanitaire parapublic vaudois\nDes offres de formations riches et variées en lien avec les attentes du poste occupé\nDes outils de travail modernes et performants\nLieu : CMS de Valency\nEntrée en fonction : De suite ou à convenir\nDélai de postulation : 31 octobre 2019\nRenseignements : Isabelle Muhlethaler, responsable de centre, 021 622 83 00\nNous attendons avec intérêt votre dossier de candidature complet (lettre de motivation, CV, certificats de travail, attestations de formation, reconnaissance Croix-Rouge pour les diplômes étrangers, ....), via Jobup uniquement.\nSeuls les dossiers complets et correspondants au profil seront étudiés.",2391,0,"nos centres Médico-Sociaux (CMS) offrent à la population Lausannoise des prestations pluridisciplinaires de qualité et leurs interventions reposent sur des valeurs d’humanité and d'équité. 'nExpérience avérée de 2 ans dans le domaine médico-social, in la collaboration interdisciplinaire and the réseaux'",304
158,R&D Dessinateurs techniciens,"Symbios est un acteur innovant du marché Européen des prothèses implantables de hanche et de genou, qui est un marché évalué à 3 milliards d’euros et qui connaît une croissance structurelle constante pour les années à venir. Elle emploie environ 180 collaborateurs à travers l’Europe, dont plus de 130 basés en son siège social à Yverdon-les-Bains.\nSociété familiale Suisse fondée en 1989, Symbios a été créée sur le concept visionnaire de la prothèse de hanche sur-mesure conçue en trois-dimensions à partir d’une imagerie scanner du patient. En 2018, s’appuyant sur 30 ans d’expérience clinique publiée sur la technologie sur-mesure de hanche, Symbios lance sur le marché la prothèse de genou sur-mesure, qui marque une rupture en terme d’innovation dans ce domaine depuis ces 30 dernières années.\nNotre vision est que les implants sur-mesure soient reconnus comme le nouveau standard de soin pour les prothèses primaires de hanche et de genou, car nous pensons qu’ils permettront d’améliorer la satisfaction et les résultats fonctionnels des patients. Nous pensons que la plupart des arthroplasties primaires pourraient être réalisées à l’aide de prothèses personnalisées, et que Symbios sera le précurseur de cette voie dans les années à venir.\nPour notre département R&D, nous cherchons actuellement à pourvoir des postes de\nR&D Dessinateurs techniciens\nSymbios est un acteur innovant du marché Européen des prothèses implantables de hanche et de genou, qui est un marché évalué à 3 milliards d’euros et qui connaît une croissance structurelle constante pour les années à venir. Elle emploie environ 180 collaborateurs à travers l’Europe, dont plus de 130 basés en son siège social à Yverdon-les-Bains.\nSociété familiale Suisse fondée en 1989, Symbios a été créée sur le concept visionnaire de la prothèse de hanche sur-mesure conçue en trois-dimensions à partir d’une imagerie scanner du patient. En 2018, s’appuyant sur 30 ans d’expérience clinique publiée sur la technologie sur-mesure de hanche, Symbios lance sur le marché la prothèse de genou sur-mesure, qui marque une rupture en terme d’innovation dans ce domaine depuis ces 30 dernières années.\nNotre vision est que les implants sur-mesure soient reconnus comme le nouveau standard de soin pour les prothèses primaires de hanche et de genou, car nous pensons qu’ils permettront d’améliorer la satisfaction et les résultats fonctionnels des patients. Nous pensons que la plupart des arthroplasties primaires pourraient être réalisées à l’aide de prothèses personnalisées, et que Symbios sera le précurseur de cette voie dans les années à venir.\nPour notre département R&D, nous cherchons actuellement à pourvoir des postes de\nAu sein du département R&D, contribuer au développement, l’amélioration et la maintenance des systèmes de hanche et genou Symbios, dans le respect des procédures Symbios et dans le périmètre défini avec les chefs de projet, ingénieurs R&D et le Manager R&D.\nTâches principales\n§ Réalisation des plans et modèles 3D dans l’environnement de travail CAD Symbios (Solidworks, EPDM) et en accord avec les instructions des responsables de projets et/ou du manager R&D.\n§ Réalisation d’étude techniques, analyses FEA.\n§ Contrôle de plans réalisés par d’autres collaborateurs.\n§ Support au département opérations pour la conception de posages.\n§ Support au département marketing pour la production d’illustrations, informations techniques.\n§ Aide aux ingénieurs et chefs de projet pour la réalisation de protocole de tests puis rédaction de rapports.\n§ Aide au développement d’implants et d’ancillaires sous la responsabilité des ingénieurs et chefs de projet.\nVotre profil :\n§ CFC dessinateur constructeur industriel et / ou Technicien ES.\n§ Bonnes aptitude à travailler en équipe et à structurer son travail.\n§ Savoir rédiger des protocoles de tests et des rapports structurés en anglais.\n§ Niveau d’anglais >=B1 ; Niveau de français >=C1.\nSi ce challenge vous intéresse, nous nous réjouissons de recevoir votre dossier de candidature complet par e-mail à l’adresse suivante : pascal.thevenaz@symbios.ch",4109,0,"Symbios est un acteur innovant du marché Européen des prothèses implantables de hanche et de genou, qui est un marché évalué à 3 milliards d’euros. Elle emploie environ 180 collaborateurs à travers l’Europe, dont plus de 130 basés en son siège social à Yverdon-les-Bains.",271
159,Informaticien(ne) / Technicien(ne) en informatique (H/F),"Informaticien(ne) / Technicien(ne) en informatique (H/F)\nInformaticien(ne) / Technicien(ne) en informatique (H/F)\nPour notre département technique nous recherchons un(e) informaticien(ne) ou technicien(ne) en informatique (h/f)\nMission\nSupport / maintenance des postes utilisateurs\nPlanifier et installer des équipements en s'appuyant sur les méthodologies en place\nExploiter et assurer la maintenance des équipements\nProduire des indicateurs d’utilisation et de performance\nLocaliser, résoudre les incidents et problèmes avec les outils et procédures en place\nGérer l’inventaire technique du matériel\nProfil\nSupport helpdesk (téléphone et sur site) Niveau 1\nPermis de conduire obligatoire\nDynamique, flexible et autonome\nSens développé de la qualité\nBonne présentation\nCFC d'informaticien au minimum\nConnaissances techniques\nMicrosoft Windows Seven / 10\nMicrosoft Office 2013 / 2016 / 2019 / o365\nLAN/WAN (switching et routing)\nFirewall et solution SSL, VPN\nAutres\nLieu de travail : Neuchâtel\nLangue de travail: FR",1039,0,"/ Technicien(ne) en informatique (H/F)nPour notre département technique nous recherchons un(e) informaticien(née) ou technicien (ne), en software (h/f)NMissionnSupport / maintenance des postes utilisateursnPlanifier et installer des équipements ens'appuyant sur les méthodologies en placenLocaliser, résoudre les incidents",322
160,Scieur Foreur,"Scieur Foreur\nNavigation principale clickLink($event, 1, 5)""> Univers d'affaires clickLink($event, 1, 0)""> clickLink($event, 2, 0)""> clickLink($event, 3, 2)""> Industrie & Horlogerie clickLink($event, 1, 0)""> clickLink($event, 2, 0)""> clickLink($event, 4, 0)""> clickLink($event, 5, 0)""> clickLink($event, 2, 3)""> Savoir-faire clickLink($event, 1, 0)""> clickLink($event, 2, 0)""> clickLink($event, 3, 0)""> clickLink($event, 3, 0)""> clickLink($event, 4, 0)""> clickLink($event, 5, 0)""> Navigation rapide Qui sommes-nous ? Sigma est spécialisé dans le recrutement et le conseil en management. Nous recrutons sans a priori, sans code, avec le cœur et engagement. À nos yeux, c'est la diversité qui fait notre force. Que vous soyez ouvrier ou haut cadre dirigeant, c'est avec dévotion que nous vous proposons une proximité et une implication sur-mesure. Valorisons ensemble le capital humain ! Votre nom Votre prénom Votre adresse mail Votre téléphone Comment nous avez-vous connu ? - Sélectionner - Site Internet Agence Presse Indeed Jobup Jobs JobScout24 Renomée Facebook Instagram LinkedIn Google Evènements Autre {{ activeLabel }} Curriculum vitae 1 seul fichier. Limité à 300 Mo. Types autorisés : txt rtf pdf doc docx odt ppt pptx odp xls xlsx ods. Message ©2019 Sigma Group. All rights reserved Footer Menu Social menu",1318,0,"Sigma is spécialisé dans le recrutement et le conseil en management. we recrutons sans a priori, sans code, avec le cur e. engagement.",134
